건설,전기 장비,중전기 장비,복합기업,건설장비,산업용 기계,무역회사,철도회사,육상 운송회사,건축제품,건축 자재,건축 소재,인적 자원,조선,항공화물 운송과 물류,판매업체,다각화된 상업 서비스,환경 및 시설 서비스,사무 서비스,고용 서비스,신용평가 서비스,공항 서비스,항구 및 서비스,고속도로와 선로,해운사,우주항공과 국방,사무용품,상업용 인쇄,기구,항공사,농기계
진흥기업,프리엠스,,와이지-원,HD현대인프라코어,퍼시스,롯데렌탈,SIMPAC,동신건설,서호전기,신원종합개발,에코프로에이치엔,,,,범양건영,제주항공,뉴보텍,삼영이엔씨,,,,,,,,,,,,
금화피에스시,피앤씨테크,,우림피티에스,SNT에너지,한국공항,일진홀딩스,SNT에너지,선광,세명전기,에코프로에이치엔,홈센타홀딩스,,,,벽산,진흥기업,오리엔탈정공,한국기업평가,,,,,,,,,,,,
비엠티,GS글로벌,,이크레더블,대원전선,한국항공우주,자이에스앤디,대원전선,이화공영,아세아텍,프럼파스트,,,,,아세아시멘트,천일고속,와이엔텍,한라IMS,,,,,,,,,,,,
서희건설,HDC랩스,,인선이엔티,동방,한일현대시멘트,팬오션,동양고속,HD현대인프라코어,알에스오토메이션,홈센타홀딩스,,,,,이건산업,누리플랜,우원개발,,,,,,,,,,,,,
신원종합개발,HD현대건설기계,,코메론,두산에너빌리티,한진,한솔홈데코,두산,KTcs,에스와이,,,,,,퍼스텍,로보티즈,DL이앤씨,,,,,,,,,,,,,
프럼파스트,HL D&I,,태광,롯데렌탈,현대리바트,국보디자인,롯데렌탈,SIMPAC,오하임아이엔티,,,,,,한국공항,삼영이엔씨,HSD엔진,,,,,,,,,,,,,
홈센타홀딩스,KC코트렐,,한국정밀기계,자이에스앤디,혜인,대원,일진홀딩스,SNT에너지,코윈테크,,,,,,한국항공우주,신원종합개발,SK,,,,,,,,,,,,,
,STX엔진,,협진,대성하이텍,TPC,비츠로테크,자이에스앤디,대원전선,플래스크,,,,,,한일현대시멘트,한국기업평가,남광토건,,,,,,,,,,,,,
,광명전기,,GS건설,대원,범한퓨얼셀,서암기계공업,팬오션,동방,해성티피씨,,,,,,한화시스템,한라IMS,디와이파워,,,,,,,,,,,,,
,다스코,,SK네트웍스,빅텍,에너토크,오리엔탈정공,한솔홈데코,동양고속,HD현대일렉트릭,,,,,,현대지에프홀딩스,,쏘카,,,,,,,,,,,,,
,대창단조,,SK렌터카,스맥,에스앤더블류,이건홀딩스,국보디자인,두산,HJ중공업,,,,,,혜인,,에쓰씨엔지니어링,,,,,,,,,,,,,
,동부건설,,STX중공업,와이엔텍,케이에스피,인화정공,대원,롯데렌탈,범양건영,,,,,,TPC,,지누스,,,,,,,,,,,,,
,천일고속,,동양,우원개발,현대에버다임,티에스아이,비츠로테크,일진홀딩스,벽산,,,,,,나이스정보통신,,티웨이홀딩스,,,,,,,,,,,,,
,한창,,삼성물산,유일로보틱스,HD현대인프라코어,DL이앤씨,서암기계공업,자이에스앤디,아세아시멘트,,,,,,동신건설,,화성산업,,,,,,,,,,,,,
,금화피에스시,,성신양회,티에스아이,SNT에너지,HD현대중공업,오리엔탈정공,팬오션,유니온,,,,,,보광산업,,SG,,,,,,,,,,,,,
,보성파워텍,,한일시멘트,흥국,대원전선,SK,우원개발,한솔홈데코,이건산업,,,,,,에너토크,,다원시스,,,,,,,,,,,,,
,비엠티,,한화에어로스페이스,DL건설,두산에너빌리티,TYM,이건홀딩스,국보디자인,퍼스텍,,,,,,에스앤더블류,,모델솔루션,,,,,,,,,,,,,
,삼영이엔씨,,현대글로비스,DL이앤씨,이엔플러스,디와이파워,인화정공,대원,퍼시스,,,,,,와토스코리아,,비나텍,,,,,,,,,,,,,
,,,현대미포조선,남광토건,일진홀딩스,티웨이홀딩스,티에스아이,비츠로테크,한국항공우주,,,,,,일승,,서한,,,,,,,,,,,,,
,,,SCI평가정보,디와이파워,화천기계,SG,DL이앤씨,서암기계공업,한일현대시멘트,,,,,,현대에버다임,,에이트원,,,,,,,,,,,,,
,,,SG&G,쏘카,대성하이텍,모델솔루션,HD현대중공업,오리엔탈정공,KCC건설,,,,,,HD현대인프라코어,,웰크론한텍,,,,,,,,,,,,,
,,,SGC이테크건설,에쓰씨엔지니어링,대원,비나텍,SK,와이엔텍,TPC,,,,,,KTcs,,유진로봇,,,,,,,,,,,,,
,,,강원에너지,화성산업,서암기계공업,아스트,TYM,이건홀딩스,동신건설,,,,,,대원전선,,제이오,,,,,,,,,,,,,
,,,고려시멘트,SG,스맥,에이치케이,남광토건,인화정공,범한퓨얼셀,,,,,,두산,,한양이엔지,,,,,,,,,,,,,
,,,남화토건,다원시스,에이테크솔루션,에이트원,디와이파워,티에스아이,보광산업,,,,,,이엔플러스,,현대무벡스,,,,,,,,,,,,,
,,,동화기업,대모,오리엔탈정공,웰크론한텍,티웨이홀딩스,DL이앤씨,와토스코리아,,,,,,일진홀딩스,,GS글로벌,,,,,,,,,,,,,
,,,듀오백,서한,와이엔텍,일진파워,SG,HD현대중공업,이화공영,,,,,,한솔홈데코,,HDC랩스,,,,,,,,,,,,,
,,,디케이락,웰크론한텍,우원개발,케이엔솔,모델솔루션,SK,케이에스피,,,,,,화천기계,,HL D&I,,,,,,,,,,,,,
,,,로보스타,유진기업,유일로보틱스,테라사이언스,비나텍,TYM,HD현대인프라코어,,,,,,KBI메탈,,KC코트렐,,,,,,,,,,,,,
,,,리파인,케이엔솔,인화정공,한양이엔지,서한,디와이파워,SNT에너지,,,,,,대성하이텍,,KSS해운,,,,,,,,,,,,,
,,,삼목에스폼,테라사이언스,티에스아이,현대무벡스,아스트,쏘카,대원전선,,,,,,대원,,LG,,,,,,,,,,,,,
,,,서산,프리엠스,포메탈,GS글로벌,에이치케이,티웨이홀딩스,두산,,,,,,비츠로테크,,다스코,,,,,,,,,,,,,
,,,씨에스베어링,HDC랩스,흥국,HDC랩스,에이트원,SG,두산에너빌리티,,,,,,서암기계공업,,동부건설,,,,,,,,,,,,,
,,,에스비비테크,HD현대건설기계,DL이앤씨,HD현대건설기계,웰크론한텍,모델솔루션,이엔플러스,,,,,,스맥,,에스원,,,,,,,,,,,,,
,,,에이스침대,HL D&I,HD현대중공업,HL D&I,일진파워,비나텍,자이에스앤디,,,,,,아이쓰리시스템,,유수홀딩스,,,,,,,,,,,,,
,,,제일테크노스,STX엔진,HSD엔진,LG,제룡산업,아스트,한솔홈데코,,,,,,유일로보틱스,,제주항공,,,,,,,,,,,,,
,,,지투파워,대창단조,LS,가온전선,케이엔솔,에이치케이,화천기계,,,,,,이건홀딩스,,진흥기업,,,,,,,,,,,,,
,,,진성티이씨,동부건설,LX하우시스,강남제비스코,테라사이언스,에이트원,국보디자인,,,,,,제이엠아이,,천일고속,,,,,,,,,,,,,
,,,케이피에프,진흥기업,TYM,광명전기,한양이엔지,웰크론한텍,뉴보텍,,,,,,제일전기공업,,CNT85,,,,,,,,,,,,,
,,,태웅로직스,천일고속,디와이파워,노루홀딩스,현대무벡스,유진기업,대원,,,,,,티에스아이,,누리플랜,,,,,,,,,,,,,
,,,CJ대한통운,한창,쏘카,대동,HDC랩스,일진파워,덕신하우징,,,,,,흥국,,로보티즈,,,,,,,,,,,,,
,,,HMM,금화피에스시,에쓰씨엔지니어링,동부건설,HD현대건설기계,케이엔솔,빅텍,,,,,,DL건설,,삼영이엔씨,,,,,,,,,,,,,
,,,KIB플러그에너지,비엠티,화성산업,삼성중공업,HL D&I,테라사이언스,아이쓰리시스템,,,,,,HD현대중공업,,에코프로에이치엔,,,,,,,,,,,,,
,,,LIG넥스원,삼영이엔씨,나라엠앤디,에스원,LG,한양이엔지,에이테크솔루션,,,,,,HSD엔진,,한국기업평가,,,,,,,,,,,,,
,,,SK오션플랜트,서희건설,다원시스,엔케이,가온전선,현대무벡스,오리엔탈정공,,,,,,LX하우시스,,한라IMS,,,,,,,,,,,,,
,,,기신정기,신원종합개발,대모,유수홀딩스,강남제비스코,HDC랩스,와이엔텍,,,,,,TYM,,홈센타홀딩스,,,,,,,,,,,,,
,,,까뮤이앤씨,프럼파스트,모델솔루션,한익스프레스,광명전기,HD현대건설기계,이건홀딩스,,,,,,디와이파워,,,,,,,,,,,,,,,
,,,대한항공,홈센타홀딩스,성광벤드,한창,노루홀딩스,HL D&I,제이엠아이,,,,,,에쓰씨엔지니어링,,,,,,,,,,,,,,,
,,,두산밥캣,,수성샐바시온,현대코퍼레이션,대동,KSS해운,포메탈,,,,,,유니드비티플러스,,,,,,,,,,,,,,,
,,,디와이,,신진에스엠,흥아해운,동부건설,LG,DL건설,,,,,,일신석재,,,,,,,,,,,,,,,
,,,부산산업,,에이치케이,모헨즈,삼성중공업,STX엔진,LX하우시스,,,,,,지누스,,,,,,,,,,,,,,,
,,,삼일씨엔에스,,에이트원,에코프로에이치엔,에스원,가온전선,남광토건,,,,,,화성산업,,,,,,,,,,,,,,,
,,,세진중공업,,유진로봇,하이록코리아,엔케이,강남제비스코,에쓰씨엔지니어링,,,,,,나라엠앤디,,,,,,,,,,,,,,,
,,,에넥스,,제이오,한국기업평가,유수홀딩스,광명전기,유니드비티플러스,,,,,,다원시스,,,,,,,,,,,,,,,
,,,우진플라임,,케이엔솔,한라IMS,한익스프레스,노루홀딩스,일신석재,,,,,,대모,,,,,,,,,,,,,,,
,,,조광페인트,,테라사이언스,홈센타홀딩스,한창,다스코,지누스,,,,,,서한,,,,,,,,,,,,,,,
,,,티웨이항공,,프리엠스,,흥아해운,대동,티웨이홀딩스,,,,,,성광벤드,,,,,,,,,,,,,,,
,,,한미글로벌,,피앤씨테크,,모헨즈,동부건설,한국카본,,,,,,수성샐바시온,,,,,,,,,,,,,,,
,,,한샘,,한양이엔지,,에코프로에이치엔,삼성중공업,화성산업,,,,,,아스트,,,,,,,,,,,,,,,
,,,한신공영,,현대무벡스,,하이록코리아,아시아나항공,SG,,,,,,에이치케이,,,,,,,,,,,,,,,
,,,효성중공업,,GS글로벌,,한국기업평가,에스원,다원시스,,,,,,유진기업,,,,,,,,,,,,,,,
,,,대동기어,,HDC랩스,,한라IMS,엔케이,대모,,,,,,유진로봇,,,,,,,,,,,,,,,
,,,대양전기공업,,HD현대건설기계,,홈센타홀딩스,유수홀딩스,서한,,,,,,제룡산업,,,,,,,,,,,,,,,
,,,라이온켐텍,,HL D&I,,,제주항공,수성샐바시온,,,,,,제이오,,,,,,,,,,,,,,,
,,,레인보우로보틱스,,KC코트렐,,,천일고속,신진에스엠,,,,,,케이엔솔,,,,,,,,,,,,,,,
,,,베노티앤알,,KSS해운,,,한익스프레스,아스트,,,,,,프리엠스,,,,,,,,,,,,,,,
,,,삼일,,STX엔진,,,한창,웰크론한텍,,,,,,HD현대건설기계,,,,,,,,,,,,,,,
,,,서호전기,,강남제비스코,,,흥아해운,유진기업,,,,,,HL D&I,,,,,,,,,,,,,,,
,,,세명전기,,광명전기,,,모헨즈,제룡산업,,,,,,가온전선,,,,,,,,,,,,,,,
,,,세보엠이씨,,다스코,,,서희건설,제이오,,,,,,강남제비스코,,,,,,,,,,,,,,,
,,,아세아텍,,대동,,,에코프로에이치엔,테라사이언스,,,,,,광명전기,,,,,,,,,,,,,,,
,,,알에스오토메이션,,대창단조,,,하이록코리아,프리엠스,,,,,,대동,,,,,,,,,,,,,,,
,,,에스와이,,동부건설,,,한국기업평가,피앤씨테크,,,,,,대창단조,,,,,,,,,,,,,,,
,,,오하임아이엔티,,천일고속,,,한라IMS,한양이엔지,,,,,,동부건설,,,,,,,,,,,,,,,
,,,제룡전기,,한창,,,홈센타홀딩스,현대무벡스,,,,,,삼성중공업,,,,,,,,,,,,,,,
,,,코엔텍,,현대코퍼레이션,,,,HL D&I,,,,,,에스원,,,,,,,,,,,,,,,
,,,코윈테크,,CNT85,,,,KSS해운,,,,,,엔케이,,,,,,,,,,,,,,,
,,,플래스크,,로보티즈,,,,강남제비스코,,,,,,제주항공,,,,,,,,,,,,,,,
,,,해성티피씨,,모헨즈,,,,노루홀딩스,,,,,,진흥기업,,,,,,,,,,,,,,,
,,,CJ,,보성파워텍,,,,다스코,,,,,,천일고속,,,,,,,,,,,,,,,
,,,HD현대일렉트릭,,비엠티,,,,대동,,,,,,한익스프레스,,,,,,,,,,,,,,,
,,,HJ중공업,,양지사,,,,대창단조,,,,,,CNT85,,,,,,,,,,,,,,,
,,,LX인터내셔널,,에스피시스템스,,,,동부건설,,,,,,금화피에스시,,,,,,,,,,,,,,,
,,,범양건영,,하이록코리아,,,,삼성중공업,,,,,,누리플랜,,,,,,,,,,,,,,,
,,,벽산,,한국기업평가,,,,엔케이,,,,,,로보티즈,,,,,,,,,,,,,,,
,,,아세아시멘트,,한라IMS,,,,진흥기업,,,,,,모헨즈,,,,,,,,,,,,,,,
,,,에어부산,,,,,,한익스프레스,,,,,,보성파워텍,,,,,,,,,,,,,,,
,,,유니온,,,,,,현대코퍼레이션,,,,,,비엠티,,,,,,,,,,,,,,,
,,,이건산업,,,,,,흥아해운,,,,,,삼영이엔씨,,,,,,,,,,,,,,,
,,,퍼스텍,,,,,,누리플랜,,,,,,서희건설,,,,,,,,,,,,,,,
,,,퍼시스,,,,,,로보티즈,,,,,,신원종합개발,,,,,,,,,,,,,,,
,,,한국공항,,,,,,모헨즈,,,,,,양지사,,,,,,,,,,,,,,,
,,,한국항공우주,,,,,,보성파워텍,,,,,,에스피시스템스,,,,,,,,,,,,,,,
,,,한일현대시멘트,,,,,,비엠티,,,,,,하이록코리아,,,,,,,,,,,,,,,
,,,한진,,,,,,삼영이엔씨,,,,,,홈센타홀딩스,,,,,,,,,,,,,,,
,,,한화시스템,,,,,,서희건설,,,,,,,,,,,,,,,,,,,,,
,,,한화오션,,,,,,신원종합개발,,,,,,,,,,,,,,,,,,,,,
,,,현대리바트,,,,,,양지사,,,,,,,,,,,,,,,,,,,,,
,,,현대지에프홀딩스,,,,,,에스피시스템스,,,,,,,,,,,,,,,,,,,,,
,,,혜인,,,,,,에코프로에이치엔,,,,,,,,,,,,,,,,,,,,,
,,,3S,,,,,,프럼파스트,,,,,,,,,,,,,,,,,,,,,
,,,KCC건설,,,,,,하이록코리아,,,,,,,,,,,,,,,,,,,,,
,,,TPC,,,,,,홈센타홀딩스,,,,,,,,,,,,,,,,,,,,,
,,,꿈비,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,나이스디앤비,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,나이스정보통신,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,동신건설,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,범한퓨얼셀,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,보광산업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,선광,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에너토크,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에스앤더블류,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,와토스코리아,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,이화공영,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,일승,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,제노코,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,케이에스피,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,현대에버다임,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HD현대인프라코어,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KTcs,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SIMPAC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SNT에너지,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,대원전선,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,동방,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,동양고속,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,두산,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,두산에너빌리티,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,롯데렌탈,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,이엔플러스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,일진홀딩스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,자이에스앤디,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,팬오션,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,한솔홈데코,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,화천기계,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KBI메탈,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,고려신용정보,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,국보디자인,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,뉴보텍,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,대성하이텍,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,대원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,덕신하우징,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,비츠로테크,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,빅텍,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,서암기계공업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,스맥,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,아이쓰리시스템,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에이테크솔루션,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,오리엔탈정공,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,와이엔텍,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,우원개발,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,유일로보틱스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,이건홀딩스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,인화정공,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,제이엠아이,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,제일전기공업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,티에스아이,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,포메탈,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,흥국,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DL건설,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,DL이앤씨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HD현대중공업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HSD엔진,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LX하우시스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SK,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,TYM,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,남광토건,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,디와이파워,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,쏘카,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에쓰씨엔지니어링,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,유니드비티플러스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,일신석재,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,지누스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,티웨이홀딩스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,한국카본,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,화성산업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,나라엠앤디,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,다원시스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,대모,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,모델솔루션,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,비나텍,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,서한,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,성광벤드,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,수성샐바시온,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,신진에스엠,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,아스트,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에이치케이,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에이트원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,우리기술,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,웰크론한텍,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,유진기업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,유진로봇,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,일진파워,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,제룡산업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,제이오,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,케이엔솔,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,테라사이언스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,프리엠스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,피앤씨테크,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,한양이엔지,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,현대무벡스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,GS글로벌,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HDC랩스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HD현대건설기계,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HL D&I,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KC코트렐,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KSS해운,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LG,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,STX엔진,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,가온전선,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,강남제비스코,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,광명전기,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,노루홀딩스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,다스코,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,대동,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,대창단조,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,동부건설,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,삼성중공업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,아시아나항공,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에스원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,엔케이,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,우진아이엔에스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,유수홀딩스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,제주항공,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,진흥기업,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,천일고속,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,한익스프레스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,한창,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,현대코퍼레이션,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,흥아해운,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,CNT85,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,금화피에스시,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,누리플랜,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,로보티즈,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,모헨즈,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,보성파워텍,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,비엠티,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,삼영이엔씨,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,서희건설,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,신원종합개발,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,양지사,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에스피시스템스,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,에코프로에이치엔,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,프럼파스트,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,하이록코리아,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,한국기업평가,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,한라IMS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,홈센타홀딩스,,,,,,,,,,,,,,,,,,,,,,,,,,,
